Date,CPIH,,,,,,,
Oct-12,2.4,,,,,,,
Nov-12,2.4,,,,,,,
Dec-12,2.4,,,,,,,
Jan-13,2.4,,,,,,,
Feb-13,2.5,,,,,,,
Mar-13,2.5,,,,,,,
Apr-13,2.2,,,,,,,
May-13,2.4,,,,,,,
Jun-13,2.6,,,,,,,
Jul-13,2.5,,,,,,,
Aug-13,2.4,,,,,,,
Sep-13,2.4,,,,,,,
Oct-13,2,,,,,,,
Nov-13,1.9,,,,,,,
Dec-13,1.9,,,,,,,
Jan-14,1.8,,,,,,,
Feb-14,1.6,,,,,,,
Mar-14,1.5,,,,,,,
Apr-14,1.7,,,,,,,
May-14,1.5,,,,,,,
Jun-14,1.8,,,,,,,
Jul-14,1.6,,,,,,,
Aug-14,1.5,,,,,,,
Sep-14,1.3,,,,,,,
Oct-14,1.3,,,,,,,
Nov-14,1.1,,,,,,,
Dec-14,0.7,,,,,,,
Jan-15,0.5,,,,,,,
Feb-15,0.4,,,,,,,
Mar-15,0.3,,,,,,,
Apr-15,0.3,,,,,,,
May-15,0.4,,,,,,,
Jun-15,0.3,,,,,,,
Jul-15,0.5,,,,,,,
Aug-15,0.4,,,,,,,
Sep-15,0.2,,,,,,,
Oct-15,0.2,,,,,,,
Nov-15,0.4,,,,,,,
Dec-15,0.5,,,,,,,
Jan-16,0.6,,,,,,,
Feb-16,0.6,,,,,,,
Mar-16,0.8,,,,,,,
Apr-16,0.7,,,,,,,
May-16,0.7,,,,,,,
Jun-16,0.8,,,,,,,
Jul-16,0.9,,,,,,,
Aug-16,1,,,,,,,
Sep-16,1.3,,,,,,,
Oct-16,1.3,,,,,,,
Nov-16,1.5,,,,,,,
Dec-16,1.8,,,,,,,
Jan-17,1.9,,,,,,,
Feb-17,2.3,,,,,,,
Mar-17,2.3,,,,,,,
Apr-17,2.6,,,,,,,
May-17,2.7,,,,,,,
Jun-17,2.6,,,,,,,
Jul-17,2.6,,,,,,,
Aug-17,2.7,,,,,,,
Sep-17,2.8,,,,,,,
Oct-17,2.8,,,,,,,
Nov-17,2.8,,,,,,,
Dec-17,2.7,,,,,,,
Jan-18,2.7,,,,,,,
Feb-18,2.5,,,,,,,
Mar-18,2.3,,,,,,,
Apr-18,2.2,,,,,,,
May-18,2.3,,,,,,,
Jun-18,2.3,,,,,,,
Jul-18,2.3,,,,,,,
Aug-18,2.4,,,,,,,
Sep-18,2.2,,,,,,,
Oct-18,2.2,,,,,,,
Nov-18,2.2,,,,,,,
Dec-18,2,,,,,,,
Jan-19,1.8,,,,,,,
Feb-19,1.8,,,,,,,
Mar-19,1.8,,,,,,,
Apr-19,2,,,,,,,
May-19,1.9,,,,,,,
Jun-19,1.9,,,,,,,
Jul-19,2,,,,,,,
Aug-19,1.7,,,,,,,
Sep-19,1.7,,,,,,,
Oct-19,1.5,,,,,,,
Nov-19,1.5,,,,,,,
Dec-19,1.4,,,,,,,
Jan-20,1.8,,,,,,,
Feb-20,1.7,,,,,,,
Mar-20,1.5,,,,,,,
Apr-20,0.9,,,,,,,
May-20,0.7,,,,,,,
Jun-20,0.8,,,,,,,
Jul-20,1.1,,,,,,,
Aug-20,0.5,,,,,,,
Sep-20,0.7,,,,,,,
Oct-20,0.9,,,,,,,
Nov-20,0.6,,,,,,,
Dec-20,0.8,,,,,,,
Jan-21,0.9,,,,,,,
Feb-21,0.7,,,,,,,
Mar-21,1,,,,,,,
Apr-21,1.6,,,,,,,
May-21,2.1,,,,,,,
Jun-21,2.4,,,,,,,
Jul-21,2.1,,,,,,,
Aug-21,3,,,,,,,
Sep-21,2.9,,,,,,,
Oct-21,3.8,,,,,,,
Nov-21,4.6,,,,,,,
Dec-21,4.8,,,,,,,
Jan-22,4.9,,,,,,,
Feb-22,5.5,,,,,,,
Mar-22,6.2,,,,,,,
Apr-22,7.8,,,,,,,
May-22,7.9,,,,,,,
Jun-22,8.2,,,,,,,
Jul-22,8.8,,,,,,,
Aug-22,8.6,,,,,,,
Sep-22,8.8,,,,,,,
Oct-22,9.6,,,,,,,
Nov-22,9.3,,,,,,,
Dec-22,9.2,,,,,,,
Jan-23,8.8,,,,,,,
Feb-23,9.2,,,,,,,
