
Date,Electricity
Oct-12,-2.3
Nov-12,-1.1
Dec-12,3.9
Jan-13,3.9
Feb-13,6.4
Mar-13,7.6
Apr-13,7.6
May-13,7.7
Jun-13,7.7
Jul-13,8.1
Aug-13,8.1
Sep-13,8.1
Oct-13,8.6
Nov-13,6.7
Dec-13,8.1
Jan-14,8
Feb-14,6.9
Mar-14,6.7
Apr-14,6
May-14,6
Jun-14,6
Jul-14,5.6
Aug-14,5.6
Sep-14,5.6
Oct-14,5.6
Nov-14,5.6
Dec-14,-0.8
Jan-15,-0.7
Feb-15,-0.9
Mar-15,-0.6
Apr-15,-0.2
May-15,-0.2
Jun-15,-0.2
Jul-15,-0.2
Aug-15,-0.2
Sep-15,-0.2
Oct-15,-0.2
Nov-15,-0.2
Dec-15,-0.2
Jan-16,-0.2
Feb-16,-0.2
Mar-16,-0.2
Apr-16,-0.2
May-16,-0.2
Jun-16,-0.2
Jul-16,-0.2
Aug-16,-0.2
Sep-16,-0.2
Oct-16,-0.2
Nov-16,-0.2
Dec-16,-0.2
Jan-17,-0.2
Feb-17,-0.2
Mar-17,0.8
Apr-17,3.5
May-17,7.7
Jun-17,7.7
Jul-17,9
Aug-17,9
Sep-17,9
Oct-17,11.4
Nov-17,11.4
Dec-17,11.4
Jan-18,11.4
Feb-18,11.4
Mar-18,10.4
Apr-18,8.6
May-18,4.5
Jun-18,6.8
Jul-18,7.4
Aug-18,7.4
Sep-18,9.3
Oct-18,9
Nov-18,9
Dec-18,9
Jan-19,3.7
Feb-19,3.8
Mar-19,3.8
Apr-19,14.1
May-19,14
Jun-19,11.5
Jul-19,9.6
Aug-19,9.6
Sep-19,7.6
Oct-19,3.3
Nov-19,3.3
Dec-19,3.3
Jan-20,8.6
Feb-20,8.5
Mar-20,8.5
Apr-20,-2
May-20,-2
Jun-20,-2
Jul-20,-2.1
Aug-20,-2.1
Sep-20,-2.1
Oct-20,-3.1
Nov-20,-3.1
Dec-20,-3.1
Jan-21,-3.1
Feb-21,-3.1
Mar-21,-3.1
Apr-21,5.5
May-21,5.5
Jun-21,5.5
Jul-21,5.8
Aug-21,5.8
Sep-21,5.8
Oct-21,18.8
Nov-21,18.8
Dec-21,18.8
Jan-22,19.2
Feb-22,19.2
Mar-22,19.2
Apr-22,53.5
May-22,53.5
Jun-22,53.5
Jul-22,54
Aug-22,54
Sep-22,54
Oct-22,65.7
Nov-22,65.4
Dec-22,65.4
Jan-23,66.7
Feb-23,66.7
