Date,Gas ,,,,
Oct-12,-1,,,,
Nov-12,-0.1,,,,
Dec-12,5.2,,,,
Jan-13,5.2,,,,
Feb-13,7.2,,,,
Mar-13,7.6,,,,
Apr-13,8.3,,,,
May-13,8.3,,,,
Jun-13,8.3,,,,
Jul-13,8.3,,,,
Aug-13,8.3,,,,
Sep-13,8.3,,,,
Oct-13,8.3,,,,
Nov-13,6.3,,,,
Dec-13,7.8,,,,
Jan-14,6.7,,,,
Feb-14,5.9,,,,
Mar-14,5.6,,,,
Apr-14,5.1,,,,
May-14,5.1,,,,
Jun-14,5.1,,,,
Jul-14,5.1,,,,
Aug-14,5.1,,,,
Sep-14,5.1,,,,
Oct-14,5.1,,,,
Nov-14,5.1,,,,
Dec-14,-1.6,,,,
Jan-15,-1,,,,
Feb-15,-1.9,,,,
Mar-15,-4.2,,,,
Apr-15,-3.8,,,,
May-15,-4.4,,,,
Jun-15,-4.4,,,,
Jul-15,-4.4,,,,
Aug-15,-4.4,,,,
Sep-15,-6.4,,,,
Oct-15,-6.4,,,,
Nov-15,-6.4,,,,
Dec-15,-6.4,,,,
Jan-16,-6,,,,
Feb-16,-6,,,,
Mar-16,-6,,,,
Apr-16,-7.3,,,,
May-16,-6.7,,,,
Jun-16,-6.7,,,,
Jul-16,-6.6,,,,
Aug-16,-6.6,,,,
Sep-16,-4.6,,,,
Oct-16,-4.6,,,,
Nov-16,-4.6,,,,
Dec-16,-4.6,,,,
Jan-17,-5.1,,,,
Feb-17,-4.4,,,,
Mar-17,-1.8,,,,
Apr-17,-1,,,,
May-17,-0.5,,,,
Jun-17,-0.5,,,,
Jul-17,0,,,,
Aug-17,0,,,,
Sep-17,0,,,,
Oct-17,0,,,,
Nov-17,0.1,,,,
Dec-17,0.1,,,,
Jan-18,0.6,,,,
Feb-18,0.6,,,,
Mar-18,0.6,,,,
Apr-18,1.6,,,,
May-18,1.1,,,,
Jun-18,3.7,,,,
Jul-18,4.3,,,,
Aug-18,4.3,,,,
Sep-18,5.5,,,,
Oct-18,7.6,,,,
Nov-18,7.6,,,,
Dec-18,7.6,,,,
Jan-19,-1.7,,,,
Feb-19,-1.6,,,,
Mar-19,-1.6,,,,
Apr-19,7.1,,,,
May-19,7.1,,,,
Jun-19,4.4,,,,
Jul-19,3.3,,,,
Aug-19,3.3,,,,
Sep-19,2.1,,,,
Oct-19,-8.7,,,,
Nov-19,-8.7,,,,
Dec-19,-8.7,,,,
Jan-20,-0.2,,,,
Feb-20,-0.3,,,,
Mar-20,-0.3,,,,
Apr-20,-12,,,,
May-20,-12,,,,
Jun-20,-12,,,,
Jul-20,-12,,,,
Aug-20,-12,,,,
Sep-20,-12,,,,
Oct-20,-15.4,,,,
Nov-20,-15.4,,,,
Dec-20,-15.4,,,,
Jan-21,-15.4,,,,
Feb-21,-15.4,,,,
Mar-21,-15.4,,,,
Apr-21,-4.1,,,,
May-21,-4.1,,,,
Jun-21,-4.1,,,,
Jul-21,-4,,,,
Aug-21,-4,,,,
Sep-21,-4,,,,
Oct-21,28.1,,,,
Nov-21,28.1,,,,
Dec-21,28.1,,,,
Jan-22,28.3,,,,
Feb-22,28.3,,,,
Mar-22,28.3,,,,
Apr-22,95.5,,,,
May-22,95.5,,,,
Jun-22,95.5,,,,
Jul-22,95.7,,,,
Aug-22,95.7,,,,
Sep-22,95.7,,,,
Oct-22,128.9,,,,
Nov-22,128.9,,,,
Dec-22,128.9,,,,
Jan-23,129.4,,,,
Feb-23,129.4,,,,
