Date,House price growth
2016 Jan,7.8
2016 Feb,7.7
2016 Mar,8.4
2016 Apr,7.9
2016 May,8.0
2016 Jun,8.2
2016 Jul,7.5
2016 Aug,6.5
2016 Sep,6.1
2016 Oct,5.6
2016 Nov,5.3
2016 Dec,5.2
2017 Jan,4.8
2017 Feb,4.9
2017 Mar,3.6
2017 Apr,4.9
2017 May,4.3
2017 Jun,4.2
2017 Jul,4.5
2017 Aug,4.9
2017 Sep,4.7
2017 Oct,5.1
2017 Nov,4.3
2017 Dec,4.6
2018 Jan,4.3
2018 Feb,4.4
2018 Mar,4.0
2018 Apr,3.3
2018 May,3.1
2018 Jun,2.9
2018 Jul,2.9
2018 Aug,2.7
2018 Sep,2.9
2018 Oct,2.7
2018 Nov,2.6
2018 Dec,2.0
2019 Jan,1.7
2019 Feb,1.2
2019 Mar,1.5
2019 Apr,1.3
2019 May,1.0
2019 Jun,0.7
2019 Jul,0.6
2019 Aug,0.6
2019 Sep,0.9
2019 Oct,0.7
2019 Nov,0.8
2019 Dec,0.9
2020 Jan,1.6
2020 Feb,1.3
2020 Mar,2.5
2020 Apr,0.7
2020 May,1.1
2020 Jun,2.0
2020 Jul,1.7
2020 Aug,2.4
2020 Sep,3.4
2020 Oct,4.6
2020 Nov,6.0
2020 Dec,7.0
2021 Jan,7.7
2021 Feb,8.2
2021 Mar,8.9
2021 Apr,8.6
2021 May,8.5
2021 Jun,13.2
2021 Jul,6.9
2021 Aug,9.0
2021 Sep,11.4
2021 Oct,8.1
2021 Nov,8.7
2021 Dec,8.2
2022 Jan,9.5
2022 Feb,9.5
2022 Mar,8.5
2022 Apr,11.3
2022 May,12.1
2022 Jun,7.1
2022 Jul,14.5
2022 Aug,12.6
2022 Sep,9.8
2022 Oct,12.4
2022 Nov,10.3
2022 Dec,9.8
2023 Jan,6.3
