Date ,Motor fuels,
Oct-12,2.4,
Nov-12,1,
Dec-12,-0.2,
Jan-13,-0.8,
Feb-13,0.8,
Mar-13,0.1,
Apr-13,-3.7,
May-13,-2.9,
Jun-13,1,
Jul-13,2.4,
Aug-13,1.3,
Sep-13,-1.6,
Oct-13,-4.2,
Nov-13,-3.6,
Dec-13,-1.4,
Jan-14,-1.8,
Feb-14,-5.1,
Mar-14,-6.6,
Apr-14,-5,
May-14,-2.5,
Jun-14,-3,
Jul-14,-2.9,
Aug-14,-5.7,
Sep-14,-6,
Oct-14,-4.8,
Nov-14,-5.9,
Dec-14,-10.5,
Jan-15,-16.2,
Feb-15,-16.6,
Mar-15,-13.7,
Apr-15,-12.3,
May-15,-11,
Jun-15,-10.5,
Jul-15,-11.4,
Aug-15,-12.9,
Sep-15,-14.9,
Oct-15,-14,
Nov-15,-12.9,
Dec-15,-11.4,
Jan-16,-7.3,
Feb-16,-7.3,
Mar-16,-9.2,
Apr-16,-7.5,
May-16,-6.8,
Jun-16,-5.5,
Jul-16,-4.3,
Aug-16,-2.6,
Sep-16,1.4,
Oct-16,4.7,
Nov-16,7.4,
Dec-16,10,
Jan-17,16.8,
Feb-17,19.4,
Mar-17,17.1,
Apr-17,11.5,
May-17,7.5,
Jun-17,4.1,
Jul-17,2,
Aug-17,5.1,
Sep-17,6.1,
Oct-17,3.4,
Nov-17,3.5,
Dec-17,4.7,
Jan-18,2.1,
Feb-18,0.8,
Mar-18,0.3,
Apr-18,3.1,
May-18,8,
Jun-18,11.6,
Jul-18,12.4,
Aug-18,11.7,
Sep-18,10.8,
Oct-18,11.9,
Nov-18,8.9,
Dec-18,3.4,
Jan-19,0.7,
Feb-19,0.5,
Mar-19,2.9,
Apr-19,4.3,
May-19,3.4,
Jun-19,0.7,
Jul-19,0.2,
Aug-19,-0.1,
Sep-19,-2.1,
Oct-19,-3.3,
Nov-19,-2.9,
Dec-19,1,
Jan-20,4.7,
Feb-20,2.8,
Mar-20,-2.4,
Apr-20,-12.2,
May-20,-16.7,
Jun-20,-16.4,
Jul-20,-12,
Aug-20,-11.4,
Sep-20,-10.6,
Oct-20,-10.2,
Nov-20,-10,
Dec-20,-8.3,
Jan-21,-8.2,
Feb-21,-3.5,
Mar-21,3.5,
Apr-21,13.6,
May-21,17.9,
Jun-21,20.3,
Jul-21,17.7,
Aug-21,17.7,
Sep-21,17.8,
Oct-21,21.5,
Nov-21,28.5,
Dec-21,26.8,
Jan-22,23.6,
Feb-22,22.3,
Mar-22,30.7,
Apr-22,31.4,
May-22,32.8,
Jun-22,42.3,
Jul-22,43.7,
Aug-22,32.1,
Sep-22,26.5,
Oct-22,22.2,
Nov-22,17.2,
Dec-22,11.5,
Jan-23,7.7,
Feb-23,4.6,
