Date ,Passenger transport by railway
Oct-12,5
Nov-12,6.3
Dec-12,5.2
Jan-13,3.8
Feb-13,3
Mar-13,4.2
Apr-13,3.5
May-13,4.4
Jun-13,4.6
Jul-13,4.5
Aug-13,3.1
Sep-13,3.8
Oct-13,3.8
Nov-13,3.9
Dec-13,3.9
Jan-14,2.5
Feb-14,3.5
Mar-14,2.5
Apr-14,3.8
May-14,2.8
Jun-14,3.1
Jul-14,2.7
Aug-14,3.4
Sep-14,3.2
Oct-14,4
Nov-14,4.5
Dec-14,3.9
Jan-15,3.5
Feb-15,3.3
Mar-15,3
Apr-15,2.5
May-15,2.1
Jun-15,1.6
Jul-15,3.1
Aug-15,2.8
Sep-15,2
Oct-15,1.6
Nov-15,0.9
Dec-15,1.4
Jan-16,0.7
Feb-16,-0.4
Mar-16,1.7
Apr-16,-0.2
May-16,0.6
Jun-16,-1.8
Jul-16,-0.6
Aug-16,-0.5
Sep-16,0.2
Oct-16,0
Nov-16,0.2
Dec-16,1.1
Jan-17,2.3
Feb-17,1.9
Mar-17,0.9
Apr-17,3.9
May-17,4.2
Jun-17,4.5
Jul-17,2.7
Aug-17,2.7
Sep-17,2.3
Oct-17,3.1
Nov-17,2.9
Dec-17,1.8
Jan-18,2.9
Feb-18,3.1
Mar-18,3.1
Apr-18,1
May-18,1.8
Jun-18,2.5
Jul-18,4.4
Aug-18,4
Sep-18,4.4
Oct-18,2.6
Nov-18,3.5
Dec-18,3.5
Jan-19,4.1
Feb-19,4.4
Mar-19,3.9
Apr-19,6.5
May-19,3
Jun-19,5.7
Jul-19,2.6
Aug-19,3.4
Sep-19,2.7
Oct-19,3.9
Nov-19,2.5
Dec-19,3.8
Jan-20,2.1
Feb-20,3.4
Mar-20,2.7
Apr-20,2.5
May-20,2.4
Jun-20,2.5
Jul-20,1.3
Aug-20,1.6
Sep-20,2.4
Oct-20,2.4
Nov-20,2.3
Dec-20,2.4
Jan-21,0.2
Feb-21,0.7
Mar-21,2.9
Apr-21,3.5
May-21,2.9
Jun-21,3.2
Jul-21,2.9
Aug-21,3.6
Sep-21,2.1
Oct-21,3.2
Nov-21,4.8
Dec-21,4.1
Jan-22,3.8
Feb-22,3.4
Mar-22,5.9
Apr-22,4.5
May-22,5.3
Jun-22,4.8
Jul-22,8.7
Aug-22,8.2
Sep-22,8.1
Oct-22,7.2
Nov-22,5.4
Dec-22,6.5
Jan-23,5.9
Feb-23,5.3
